Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2013/06/26,GOOG,GOOG,S,BATS,3444
2013/06/27,GOOG,GOOG,S,BATS,7823
2013/06/28,GOOG,GOOG,S,BATS,6362
2013/07/01,GOOG,GOOG,S,BATS,4935
2013/07/02,GOOG,GOOG,S,BATS,4581
2013/07/03,GOOG,GOOG,S,BATS,3864
2013/07/05,GOOG,GOOG,S,BATS,8303
2013/07/08,GOOG,GOOG,S,BATS,6701
2013/07/09,GOOG,GOOG,S,BATS,6188
2013/07/10,GOOG,GOOG,S,BATS,5759
2013/07/11,GOOG,GOOG,S,BATS,10819
2013/07/12,GOOG,GOOG,S,BATS,9759
2013/07/15,GOOG,GOOG,S,BATS,4756
2013/07/16,GOOG,GOOG,S,BATS,4904
2013/07/17,GOOG,GOOG,S,BATS,3423
2013/07/18,GOOG,GOOG,S,BATS,12408
2013/07/19,GOOG,GOOG,S,BATS,37042
2013/07/22,GOOG,GOOG,S,BATS,11482
2013/07/23,GOOG,GOOG,S,BATS,6660
2013/07/24,GOOG,GOOG,S,BATS,8408
2013/07/25,GOOG,GOOG,S,BATS,11465
2013/07/26,GOOG,GOOG,S,BATS,8480
2013/07/29,GOOG,GOOG,S,BATS,5139
2013/07/30,GOOG,GOOG,S,BATS,7640
2013/07/31,GOOG,GOOG,S,BATS,5403
2013/08/01,GOOG,GOOG,S,BATS,8380
2013/08/02,GOOG,GOOG,S,BATS,7297
2013/08/05,GOOG,GOOG,S,BATS,3656
2013/08/06,GOOG,GOOG,S,BATS,4790
2013/08/07,GOOG,GOOG,S,BATS,5041
2013/08/08,GOOG,GOOG,S,BATS,6310
2013/08/09,GOOG,GOOG,S,BATS,5680
2013/08/12,GOOG,GOOG,S,BATS,3980
2013/08/13,GOOG,GOOG,S,BATS,5340
2013/08/14,GOOG,GOOG,S,BATS,9962
2013/08/15,GOOG,GOOG,S,BATS,9791
2013/08/16,GOOG,GOOG,S,BATS,8230
2013/08/19,GOOG,GOOG,S,BATS,5646
2013/08/20,GOOG,GOOG,S,BATS,4249
2013/08/21,GOOG,GOOG,S,BATS,6972
2013/08/22,GOOG,GOOG,S,BATS,3437
2013/08/23,GOOG,GOOG,S,BATS,5594
2013/08/26,GOOG,GOOG,S,BATS,3807
2013/08/27,GOOG,GOOG,S,BATS,6973
2013/08/28,GOOG,GOOG,S,BATS,4203
2013/08/29,GOOG,GOOG,S,BATS,6250
2013/08/30,GOOG,GOOG,S,BATS,9528
2013/09/03,GOOG,GOOG,S,BATS,6514
2013/09/04,GOOG,GOOG,S,BATS,5981
2013/09/05,GOOG,GOOG,S,BATS,6142
2013/09/06,GOOG,GOOG,S,BATS,8270
2013/09/09,GOOG,GOOG,S,BATS,4014
2013/09/10,GOOG,GOOG,S,BATS,2836
2013/09/11,GOOG,GOOG,S,BATS,4771
2013/09/12,GOOG,GOOG,S,BATS,3494
2013/09/13,GOOG,GOOG,S,BATS,5393
2013/09/16,GOOG,GOOG,S,BATS,2692
2013/09/17,GOOG,GOOG,S,BATS,1331
2013/09/18,GOOG,GOOG,S,BATS,2819
2013/09/19,GOOG,GOOG,S,BATS,1024
2013/09/20,GOOG,GOOG,S,BATS,2582
2013/09/23,GOOG,GOOG,S,BATS,1583
2013/09/24,GOOG,GOOG,S,BATS,1565
2013/09/25,GOOG,GOOG,S,BATS,1734
2013/09/26,GOOG,GOOG,S,BATS,958
2013/09/27,GOOG,GOOG,S,BATS,2434
2013/09/30,GOOG,GOOG,S,BATS,1122
2013/10/01,GOOG,GOOG,S,BATS,1108
2013/10/02,GOOG,GOOG,S,BATS,2401
2013/10/03,GOOG,GOOG,S,BATS,3441
2013/10/04,GOOG,GOOG,S,BATS,2173
2013/10/07,GOOG,GOOG,S,BATS,1626
2013/10/08,GOOG,GOOG,S,BATS,2143
2013/10/09,GOOG,GOOG,S,BATS,3448
2013/10/10,GOOG,GOOG,S,BATS,2983
2013/10/11,GOOG,GOOG,S,BATS,2326
2013/10/14,GOOG,GOOG,S,BATS,2140
2013/10/15,GOOG,GOOG,S,BATS,2053
2013/10/16,GOOG,GOOG,S,BATS,2294
2013/10/17,GOOG,GOOG,S,BATS,5391
2013/10/18,GOOG,GOOG,S,BATS,26970
2013/10/21,GOOG,GOOG,S,BATS,3499
2013/10/22,GOOG,GOOG,S,BATS,2472
2013/10/23,GOOG,GOOG,S,BATS,5571
2013/10/24,GOOG,GOOG,S,BATS,6829
2013/10/25,GOOG,GOOG,S,BATS,3789
2013/10/28,GOOG,GOOG,S,BATS,2100
2013/10/29,GOOG,GOOG,S,BATS,1883
2013/10/30,GOOG,GOOG,S,BATS,3059
